Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.17
Upper Discriminator:,1270
Lower Discriminator:,17
Calibration Coefficients:,1.4259201979585526E-4,1.0612728116299988,2.1725691307929127
Calibration Channels:,28,452,577
Calibration Energies:,32.0,511.0,662.0
Elapsed Real Time:,4202.37
Elapsed Live Time:,4200.0
Start Time:,November 11, 2024, 02:23:39
End Time:,November 11, 2024, 03:33:41
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,434,471,3605,262,7,511

Channel Data:
Channel,Energy,Counts
0,2.1725691307929127,0
1,3.2339845344427074,0
2,4.2956851221320935,0
3,5.357670893861072,0
4,6.419941849629641,0
5,7.482497989437802,0
6,8.545339313285556,0
7,9.608465821172901,0
8,10.671877513099837,0
9,11.735574389066368,0
10,12.799556449072487,0
11,13.8638236931182,0
12,14.928376121203502,0
13,15.993213733328396,0
14,17.058336529492884,0
15,18.123744509696962,0
16,19.18943767394063,14
17,20.25541602222389,236
18,21.321679554546748,271
19,22.38822827090919,277
20,23.45506217131123,287
21,24.52218125575286,278
22,25.589585524234078,316
23,26.65727497675489,279
24,27.725249613315295,267
25,28.79350943391529,305
26,29.86205443855488,279
27,30.930884627234054,305
28,31.999999999952827,296
29,33.069400556711194,308
30,34.139086297509145,321
31,35.20905722234669,322
32,36.27931333122383,311
33,37.34985462414056,358
34,38.42068110109688,322
35,39.49179276209279,353
36,40.5631896071283,375
37,41.6348716362034,395
38,42.70683884931808,402
39,43.77909124647236,453
40,44.85162882766623,430
41,45.92445159289969,446
42,46.99755954217275,493
43,48.0709526754854,492
44,49.14463099283764,511
45,50.218594494229464,528
46,51.292843179660885,521
47,52.367377049131896,572
48,53.44219610264251,620
49,54.517300340192705,696
50,55.592689761782495,764
51,56.66836436741187,787
52,57.74432415708084,856
53,58.8205691307894,863
54,59.89709928853756,897
55,60.97391463032531,908
56,62.05101515615265,906
